dim, T, K, run, mean, time
10, 1.000000, 35.000000, 0, 10.365092, 36.060695
10, 1.000000, 40.000000, 0, 5.534567, 29.701345
10, 1.000000, 45.000000, 0, 1.894962, 30.267158
10, 4.000000, 35.000000, 0, 16.520744, 29.528853
10, 4.000000, 40.000000, 0, 11.866819, 29.957760
10, 4.000000, 45.000000, 0, 7.805578, 29.846894
10, 7.000000, 35.000000, 0, 20.909391, 29.924247
10, 7.000000, 40.000000, 0, 16.373248, 30.149467
10, 7.000000, 45.000000, 0, 12.270299, 29.596336
400, 12.000000, 35.000000, 0, 55.711607, 338.828833
400, 12.000000, 40.000000, 0, 50.971247, 338.466788
400, 12.000000, 45.000000, 0, 46.235434, 338.713992
